"Taille","Numero","Maximum","Counting sort","Quick Sort-pivot1-seuil1","Quick Sort-pivot1-seuilExp","Quick Sort-pivotAleat-seuilExp"
"1000","0","1000","0.0","0.0","0.0","0.0031244039535522463"
"1000","1","1000","0.0","0.0","0.0","0.0046864509582519535"
"1000","2","1000","0.0","0.0","0.0","0.0031241178512573242"
"1000","3","997","0.0","0.0","0.0","0.0031242132186889648"
"1000","4","1000","0.0","0.0","0.0","0.0031241178512573242"
"1000","5","1000","0.0","0.0","0.0","0.003127121925354004"
"1000","6","1000","0.0","0.0","0.0","0.003127002716064453"
"1000","7","1000","0.0","0.0","0.0","0.003121304512023926"
"1000","8","1000","0.0","0.0","0.015621185302734375","0.0015621185302734375"
"1000","9","1000","0.0","0.0","0.0","0.003126668930053711"
"1000","10","65429155","15.8212308883667","0.0","0.0","0.0031242609024047852"
"1000","11","65419115","15.730669736862183","0.0","0.0","0.0031268835067749024"
"1000","12","65504656","15.730639457702637","0.0","0.0","0.0031241893768310545"
"1000","13","65429274","15.65259575843811","0.0","0.0","0.0031238794326782227"
"1000","14","65450528","15.66818356513977","0.0","0.0","0.0031242609024047852"
"1000","15","65482177","15.683775424957275","0.01565074920654297","0.0","0.003121304512023926"
"1000","16","65448089","15.652531623840332","0.0","0.0","0.003124237060546875"
"1000","17","65482731","15.66821813583374","0.0","0.0","0.0031237363815307616"
"1000","18","65476800","15.797615051269531","0.0","0.0","0.0031240701675415037"
"1000","19","65523544","15.699430465698242","0.0","0.0","0.003123784065246582"
"1000","20","3914","0.0","0.015621185302734375","0.015619993209838867","0.0031242847442626955"
"1000","21","3942","0.0","0.015651226043701172","0.01562047004699707","0.0015621185302734375"
"1000","22","3979","0.0","0.0","0.015652179718017578","0.003124570846557617"
"1000","23","3954","0.0","0.015616893768310547","0.015619754791259766","0.0031242132186889648"
"1000","24","3996","0.0","0.015650510787963867","0.015619039535522461","0.0015594005584716798"
"1000","25","3982","0.0","0.015621185302734375","0.01562190055847168","0.0031215429306030275"
"1000","26","3997","0.0","0.01564645767211914","0.03124690055847168","0.0015618562698364257"
"1000","27","3935","0.0","0.015648841857910156","0.015620946884155273","0.0031239986419677734"
"1000","28","3979","0.015624523162841797","0.0","0.015620946884155273","0.003124427795410156"
"1000","29","3992","0.0","0.015621423721313477","0.015622138977050781","0.0031242609024047852"
"5000","0","4999","0.015614748001098633","0.0","0.015621662139892578","0.015621304512023926"
"5000","1","5000","0.0","0.015622138977050781","0.015616655349731445","0.015621614456176759"
"5000","2","5000","0.0","0.01565098762512207","0.0","0.01718316078186035"
"5000","3","5000","0.0","0.01565241813659668","0.015619754791259766","0.015618371963500976"
"5000","4","5000","0.0","0.015621185302734375","0.01559138298034668","0.017183399200439452"
"5000","5","4999","0.0","0.015621423721313477","0.0","0.017186403274536133"
"5000","6","5000","0.0","0.015621185302734375","0.0","0.01718637943267822"
"5000","7","4999","0.0","0.015624523162841797","0.0","0.01718311309814453"
"5000","8","5000","0.0","0.015621423721313477","0.0","0.017180442810058594"
"5000","9","5000","0.0","0.01562047004699707","0.0","0.017186307907104494"
"5000","10","327665438","79.97953534126282","0.0","0.01561284065246582","0.015621662139892578"
"5000","11","327611849","80.69868659973145","0.015648603439331055","0.015594482421875","0.01686410903930664"
"5000","12","327589493","80.78169226646423","0.015621423721313477","0.015621185302734375","0.016637802124023438"
"5000","13","327571352","79.78106117248535","0.015619277954101562","0.0","0.017183518409729003"
"5000","14","327656381","79.07367062568665","0.0","0.015619993209838867","0.015623974800109863"
"5000","15","327678945","79.93210482597351","0.015620231628417969","0.0","0.017183494567871094"
"5000","16","327486506","79.47270941734314","0.0","0.015617847442626953","0.015621376037597657"
"5000","17","327636476","80.11750936508179","0.011968374252319336","0.003194093704223633","0.01640949249267578"
"5000","18","327650332","80.40675115585327","0.015621185302734375","0.01562190055847168","0.015920400619506836"
"5000","19","327673301","80.04058051109314","0.01561594009399414","0.0","0.017180347442626955"
"5000","20","19991","0.015620946884155273","0.06251859664916992","0.06245303153991699","0.015621304512023926"
"5000","21","19990","0.0","0.06245756149291992","0.04688882827758789","0.017180919647216797"
"5000","22","19942","0.0","0.0780787467956543","0.07810640335083008","0.017183637619018553"
"5000","23","19923","0.0","0.10935115814208984","0.09375500679016113","0.015620970726013183"
"5000","24","19970","0.0","0.04683327674865723","0.062485694885253906","0.015623998641967774"
"5000","25","19976","0.01554727554321289","0.07810568809509277","0.09373211860656738","0.015620660781860352"
"5000","26","19997","0.015591859817504883","0.10934877395629883","0.09372711181640625","0.015621328353881836"
"5000","27","19986","0.0","0.07810640335083008","0.07813739776611328","0.015618205070495605"
"5000","28","19922","0.0","0.09372830390930176","0.07810616493225098","0.015621328353881836"
"5000","29","19930","0.0","0.12499785423278809","0.10932183265686035","0.015621352195739745"
"10000","0","9995","0.0","0.031212329864501953","0.015621423721313477","0.03592894077301025"
"10000","1","10000","0.0","0.031235933303833008","0.015599250793457031","0.03592894077301025"
"10000","2","9999","0.0","0.031222105026245117","0.015621185302734375","0.03593170642852783"
"10000","3","10000","0.0","0.015650510787963867","0.031241178512573242","0.034366798400878903"
"10000","4","10000","0.0","0.031211376190185547","0.015620946884155273","0.0343670129776001"
"10000","5","9998","0.0","0.01562047004699707","0.031243085861206055","0.034369683265686034"
"10000","6","9999","0.0","0.01562047004699707","0.03124260902404785","0.03436696529388428"
"10000","7","9999","0.0","0.031212329864501953","0.015621423721313477","0.034366822242736815"
"10000","8","9998","0.0","0.03124237060546875","0.015621423721313477","0.034366917610168454"
"10000","9","9999","0.0","0.015597343444824219","0.03127288818359375","0.03436379432678223"
