algo,serie,taille,temps
counting,1,1000,0.002096891
counting,1,5000,0.010774279
counting,1,10000,0.020448136
counting,1,50000,0.102916288
counting,1,100000,0.205356383
counting,1,500000,1.037420917
counting,2,1000,16.65983405
counting,2,5000,83.47143493
counting,2,10000,167.4122399
counting,2,50000,1146.727158
counting,2,100000,2359.968391
counting,2,500000,5500
counting,3,1000,0.002996302
counting,3,5000,0.014553118
counting,3,10000,0.028725719
counting,3,50000,0.142716289
counting,3,100000,0.285533834
counting,3,500000,1.451367974
quick,1,1000,0.001898074
quick,1,5000,0.011466527
quick,1,10000,0.024736333
quick,1,50000,0.147605682
quick,1,100000,0.312457323
quick,1,500000,2.073193455
quick,2,1000,0.00189693
quick,2,5000,0.011467505
quick,2,10000,0.025232077
quick,2,50000,0.1457129
quick,2,100000,0.316551042
quick,2,500000,2.00093925
quick,3,1000,0.012964439
quick,3,5000,0.042589211
quick,3,10000,0.089563894
quick,3,50000,0.51701622
quick,3,100000,0.955946159
quick,3,500000,8.301775264
quickRandomSeuil,1,1000,0.00170562
quickRandomSeuil,1,5000,0.011030114
quickRandomSeuil,1,10000,0.024174922
quickRandomSeuil,1,50000,0.143955066
quickRandomSeuil,1,100000,0.309580288
quickRandomSeuil,1,500000,1.977105568
quickRandomSeuil,2,1000,0.00174557
quickRandomSeuil,2,5000,0.011099877
quickRandomSeuil,2,10000,0.023826034
quickRandomSeuil,2,50000,0.144931724
quickRandomSeuil,2,100000,0.311597138
quickRandomSeuil,2,500000,1.97157573
quickRandomSeuil,3,1000,0.001755063
quickRandomSeuil,3,5000,0.010811653
quickRandomSeuil,3,10000,0.023477435
quickRandomSeuil,3,50000,0.139864652
quickRandomSeuil,3,100000,0.296796515
quickRandomSeuil,3,500000,1.751874764
quickSeuil,1,1000,0.001892185
quickSeuil,1,5000,0.011472273
quickSeuil,1,10000,0.024734736
quickSeuil,1,50000,0.149992085
quickSeuil,1,100000,0.313862777
quickSeuil,1,500000,2.086326456
quickSeuil,2,1000,0.001790285
quickSeuil,2,5000,0.010971236
quickSeuil,2,10000,0.025340319
quickSeuil,2,50000,0.148892975
quickSeuil,2,100000,0.318342662
quickSeuil,2,500000,2.007833171
quickSeuil,3,1000,0.01296134
quickSeuil,3,5000,0.043973827
quickSeuil,3,10000,0.091854477
quickSeuil,3,50000,0.530979896
quickSeuil,3,100000,0.995428634
quickSeuil,3,500000,8.579564166
